year,date,tournament,h_team,a_team,h_elo,a_elo,h_score,a_score,location,neutral,,,,,,,,,,,,
2018,March 27,Friendly,Belgium,Saudi Arabia,1928,1563,4,0,in Belgium,No,,,,,,,,,,,,No
2018,March 27,Friendly,Senegal,Bosnia and Herzegovina,1747,1730,0,0,in France,Yes,,,,,,,,,,,,Yes
2018,March 27,Friendly,Kenya,Central African Republic,1389,1299,2,3,in Morocco,Yes,,,,,,,,,,,,Yes
2018,March 27,Friendly,Mexico,Croatia,1870,1842,0,1,in the United States,Yes,,,,,,,,,,,,Yes
2018,March 27,Friendly,Denmark,Chile,1845,1872,0,0,in Denmark,No,,,,,,,,,,,,No
2018,March 27,Friendly,England,Italy,1945,1894,1,1,in England,No,,,,,,,,,,,,No
2018,March 27,Friendly,Georgia,Estonia,1492,1517,2,0,in Georgia,No,,,,,,,,,,,,No
2018,March 27,Friendly,Germany,Brazil,2104,2118,0,1,in Germany,No,,,,,,,,,,,,No
2018,March 27,Friendly,Egypt,Greece,1655,1654,0,1,in Switzerland,Yes,,,,,,,,,,,,Yes
2018,March 27,Friendly,Hungary,Scotland,1594,1709,0,1,in Hungary,No,,,,,,,,,,,,No
2018,March 27,Friendly,Iran,Algeria,1790,1542,2,1,in Austria,Yes,,,,,,,,,,,,Yes
2018,March 27,Friendly tournament,Iraq,Syria,1559,1605,1,1,in Iraq,No,,,,,,,,,,,,No
2018,March 27,Friendly,Ivory Coast,Moldova,1597,1327,2,1,in France,Yes,,,,,,,,,,,,Yes
2018,March 27,Asian Cup qualifier,Jordan,Vietnam,1479,1271,1,1,in Jordan,No,,,,,,,,,,,,No
2018,March 27,Friendly,Burkina Faso,Kosovo,1611,1380,0,2,in France,Yes,,,,,,,,,,,,Yes
2018,March 27,Asian Cup qualifier,Kyrgyzstan,India,1233,1160,2,1,in Kyrgyzstan,No,,,,,,,,,,,,No
2018,March 27,Friendly,Laos,Bangladesh,771,803,2,2,in Laos,No,,,,,,,,,,,,No
2018,March 27,Asian Cup qualifier,Lebanon,Malaysia,1451,1053,2,1,in Lebanon,No,,,,,,,,,,,,No
2018,March 27,Friendly,Luxembourg,Austria,1331,1719,0,4,in Luxembourg,No,,,,,,,,,,,,No
2018,March 27,Asian Cup qualifier,Maldives,Bhutan,935,592,7,0,in the Maldives,No,,,,,,,,,,,,No
2018,March 27,Friendly,Mongolia,Mauritius,662,1071,0,2,in Mongolia,No,,,,,,,,,,,,No
2018,March 27,Friendly,Montenegro,Turkey,1611,1720,2,2,in Montenegro,No,,,,,,,,,,,,No
2018,March 27,Friendly,Morocco,Uzbekistan,1703,1614,2,0,in Morocco,No,,,,,,,,,,,,No
2018,March 27,Asian Cup qualifier,Myanmar,Macao,1067,676,1,0,in Myanmar,No,,,,,,,,,,,,No
2018,March 27,Friendly,Namibia,Lesotho,1378,1262,2,1,in Namibia,No,,,,,,,,,,,,No
2018,March 27,Asian Cup qualifier,North Korea,Hong Kong,1449,1190,2,0,in North Korea,No,,,,,,,,,,,,No
2018,March 27,Asian Cup qualifier,Oman,Palestine,1528,1404,1,0,in Oman,No,,,,,,,,,,,,No
2018,March 27,Friendly,Peru,Iceland,1896,1799,3,1,in the United States,Yes,,,,,,,,,,,,Yes
2018,March 27,Asian Cup qualifier,Philippines,Tajikistan,1169,1213,2,1,in the Philippines,No,,,,,,,,,,,,No
2018,March 27,Friendly,Poland,South Korea,1826,1749,3,2,in Poland,No,,,,,,,,,,,,No
2018,March 27,Friendly,Romania,Sweden,1696,1806,1,0,in Romania,No,,,,,,,,,,,,No
2018,March 27,Friendly,Russia,France,1693,1975,1,3,in Russia,No,,,,,,,,,,,,No
2018,March 27,Friendly,Serbia,Nigeria,1758,1715,2,0,in England,Yes,,,,,,,,,,,,Yes
2018,March 27,Friendly,Seychelles,Swaziland,940,1296,0,0,in the Seychelles,No,,,,,,,,,,,,No
2018,March 27,Friendly,Slovenia,Belarus,1629,1507,0,2,in Slovenia,No,,,,,,,,,,,,No
2018,March 27,Friendly,Spain,Argentina,2036,1996,6,1,in Spain,No,,,,,,,,,,,,No
2018,March 27,Friendly,Switzerland,Panama,1873,1668,6,0,in Switzerland,No,,,,,,,,,,,,No
2018,March 27,Asian Cup qualifier,Taiwan,Singapore,977,1062,1,0,in Taiwan,No,,,,,,,,,,,,No
2018,March 27,Friendly,Tanzania,Democratic Republic of Congo,1296,1606,2,0,in Tanzania,No,,,,,,,,,,,,No
2018,March 27,Friendly,Costa Rica,Tunisia,1757,1635,0,1,in France,Yes,,,,,,,,,,,,Yes
2018,March 27,Friendly,Uganda,Malawi,1463,1304,0,0,in Uganda,No,,,,,,,,,,,,No
2018,March 27,Friendly,Ukraine,Japan,1733,1701,2,1,in Belgium,Yes,,,,,,,,,,,,Yes
2018,March 27,Friendly,United States,Paraguay,1747,1753,1,0,in the United States,No,,,,,,,,,,,,No
2018,March 27,Asian Cup qualifier,Yemen,Nepal,1188,902,2,1,in Qatar,Yes,,,,,,,,,,,,Yes
2018,April 1,Friendly,Antigua and Barbuda,Dominica,1219,1004,0,0,in Antigua and Barbuda,No,,,,,,,,,,,,No
2018,April 1,Friendly,Malaysia,Bhutan,1051,585,7,0,in Malaysia,No,,,,,,,,,,,,No
2018,April 17,Friendly,Trinidad and Tobago,Panama,1430,1662,0,1,in Trinidad and Tobago,No,,,,,,,,,,,,No
2018,April 18,Friendly,Zimbabwe,Botswana,1468,1261,0,1,in Zimbabwe,No,,,,,,,,,,,,No
2018,April 19,Friendly,Eswatini,Namibia,1290,1382,1,0,in Eswatini,No,,,,,,,,,,,,No
2018,April 26,Friendly,Saint Kitts and Nevis,Jamaica,1248,1561,1,3,in Saint Kitts and Nevis,No,,,,,,,,,,,,No
2018,April 29,Friendly,Antigua and Barbuda,Jamaica,1212,1568,0,2,in Antigua and Barbuda,No,,,,,,,,,,,,No
2018,April 29,Friendly,Saint Barthélemy,Saint Martin,695,867,3,1,in Saint Barthélemy,No,,,,,,,,,,,,No
2018,May 8,Friendly,Iraq,Palestine,1557,1395,0,0,in Iraq,No,,,,,,,,,,,,No
2018,May 9,Friendly,Saudi Arabia,Algeria,1561,1538,2,0,in Spain,Yes,,,,,,,,,,,,Yes
2018,May 11,Friendly,Kuwait,Palestine,1405,1401,2,0,in Kuwait,No,,,,,,,,,,,,No
2018,May 15,Friendly,Greece,Saudi Arabia,1664,1575,0,2,in Spain,Yes,,,,,,,,,,,,Yes
2018,May 19,Friendly,Iran,Uzbekistan,1794,1606,1,0,in Iran,No,,,,,,,,,,,,No
2018,May 20,Friendly,Jordan,Cyprus,1465,1413,3,0,in Jordan,No,,,,,,,,,,,,No
2018,May 25,Friendly,Kenya,Eswatini,1376,1300,0,1,in Kenya,No,,,,,,,,,,,,No
2018,May 25,Friendly,Kuwait,Egypt,1416,1645,1,1,in Kuwait,No,,,,,,,,,,,,No
2018,May 26,Friendly,China,Myanmar,1520,1069,1,0,in China,No,,,,,,,,,,,,No
2018,May 26,Friendly,Saint Barthélemy,Sint Maarten,713,887,5,3,in Saint Barthélemy,No,,,,,,,,,,,,No
2018,May 27,Friendly,Cameroon,Burkina Faso,1655,1587,0,1,in France,Yes,,,,,,,,,,,,Yes
2018,May 27,COSAFA Cup,Comoros,Seychelles,1049,946,1,1,in South Africa,Yes,,,,,,,,,,,,Yes
2018,May 27,COSAFA Cup,Madagascar,Mozambique,1358,1315,2,1,in South Africa,Yes,,,,,,,,,,,,Yes
2018,May 27,Friendly tournament,Niger,Central African Republic,1296,1312,3,3,in Niger,No,,,,,,,,,,,,No
2018,May 28,Friendly,Bosnia and Herzegovina,Montenegro,1730,1611,0,0,in Bosnia and Herzegovina,No,,,,,,,,,,,,No
2018,May 28,COSAFA Cup,Botswana,Angola,1278,1261,2,1,in South Africa,Yes,,,,,,,,,,,,Yes
2018,May 28,Friendly,France,Ireland,1983,1723,2,0,in France,No,,,,,,,,,,,,No
2018,May 28,Friendly,Italy,Saudi Arabia,1898,1594,2,1,in Switzerland,Yes,,,,,,,,,,,,Yes
2018,May 28,Friendly,Kenya,Equatorial Guinea,1361,1332,1,0,in Kenya,No,,,,,,,,,,,,No
2018,May 28,COSAFA Cup,Malawi,Mauritius,1310,1075,0,1,in South Africa,Yes,,,,,,,,,,,,Yes
2018,May 28,Friendly,Mexico,Wales,1859,1775,0,0,in the United States,Yes,,,,,,,,,,,,Yes
2018,May 28,Friendly,Nigeria,Democratic Republic of Congo,1702,1583,1,1,in Nigeria,No,,,,,,,,,,,,No
2018,May 28,Friendly,Portugal,Tunisia,1974,1648,2,2,in Portugal,No,,,,,,,,,,,,No
2018,May 28,Friendly,South Korea,Honduras,1744,1610,2,0,in South Korea,No,,,,,,,,,,,,No
2018,May 28,Friendly,Turkey,Iran,1720,1797,2,1,in Turkey,No,,,,,,,,,,,,No
2018,May 28,Friendly,United States,Bolivia,1754,1682,3,0,in the United States,No,,,,,,,,,,,,No
2018,May 29,Friendly,Argentina,Haiti,1984,1493,4,0,in Argentina,No,,,,,,,,,,,,No
2018,May 29,Friendly,Armenia,Malta,1464,1202,1,1,in Austria,Yes,,,,,,,,,,,,Yes
2018,May 29,Friendly,Azerbaijan,Kyrgyzstan,1392,1244,3,0,in Azerbaijan,No,,,,,,,,,,,,No
2018,May 29,Friendly,Albania,Kosovo,1596,1404,0,3,in Switzerland,Yes,,,,,,,,,,,,Yes
2018,May 29,COSAFA Cup,Madagascar,Seychelles,1376,952,1,1,in South Africa,Yes,,,,,,,,,,,,Yes
2018,May 29,COSAFA Cup,Mozambique,Comoros,1297,1043,3,0,in South Africa,Yes,,,,,,,,,,,,Yes
2018,May 29,Friendly,Panama,Northern Ireland,1668,1684,0,0,in Panama,No,,,,,,,,,,,,No
2018,May 29,Friendly,Peru,Scotland,1907,1719,2,0,in Peru,No,,,,,,,,,,,,No
2018,May 30,COSAFA Cup,Angola,Mauritius,1242,1107,1,0,in South Africa,Yes,,,,,,,,,,,,Yes
2018,May 30,Friendly,Austria,Russia,1725,1685,1,0,in Austria,No,,,,,,,,,,,,No
2018,May 30,COSAFA Cup,Botswana,Malawi,1297,1278,1,1,in South Africa,Yes,,,,,,,,,,,,Yes
2018,May 30,Friendly tournament,Uganda,Central African Republic,1457,1316,0,1,in Niger,Yes,,,,,,,,,,,,Yes
2018,May 30,Baltic Cup,Estonia,Lithuania,1505,1412,2,0,in Estonia,No,,,,,,,,,,,,No
2018,May 30,Friendly,Japan,Ghana,1692,1617,0,2,in Japan,No,,,,,,,,,,,,No
2018,May 31,Friendly,Luxembourg,Senegal,1325,1747,0,0,in Luxembourg,No,,,,,,,,,,,,No
2018,May 31,COSAFA Cup,Madagascar,Comoros,1359,1030,1,0,in South Africa,Yes,,,,,,,,,,,,Yes
2018,May 31,Friendly,Ukraine,Morocco,1742,1711,0,0,in Switzerland,Yes,,,,,,,,,,,,Yes
2018,May 31,COSAFA Cup,Mozambique,Seychelles,1310,969,2,1,in South Africa,Yes,,,,,,,,,,,,Yes
2018,May 31,Friendly,Chile,Romania,1874,1706,2,3,in Austria,Yes,,,,,,,,,,,,Yes
2018,May 31,Friendly,Slovakia,Netherlands,1762,1906,1,1,in Slovakia,No,,,,,,,,,,,,No
2018,June 1,Friendly,Algeria,Cape Verde,1524,1429,2,3,in Algeria,No,,,,,,,,,,,,No
2018,June 1,COSAFA Cup,Malawi,Angola,1279,1255,0,0,in South Africa,Yes,,,,,,,,,,,,Yes
2018,June 1,Friendly,Czechia,Australia,1722,1713,0,4,in Austria,Yes,,,,,,,,,,,,Yes
2018,June 1,COSAFA Cup,Botswana,Mauritius,1296,1094,6,0,in South Africa,Yes,,,,,,,,,,,,Yes
